City,Duration,IncidentDate,PostedDate,Shape,State,Summary
Old Lyme,1 minute,8/28/2016 8:57:00 AM,8/29/2016 12:00:00 AM,Cross,CT,Cross like object glowing the went in a split second over the sky.
White House,5 minutes,8/27/2016 11:15:00 PM,8/29/2016 12:00:00 AM,Fireball,TN,5 bright red orbs traveling west then slowed stopped and turned to the south and faded out.
Surf City,5 minutes,8/27/2016 11:00:00 PM,9/15/2016 12:00:00 AM,Egg,NC,6 glowing orbs floating silently just above the houses.
Detroit,5-10 minutes,8/27/2016 10:45:00 PM,8/29/2016 12:00:00 AM,Formation,MI,((HOAX??)) Moving in a single line,moving in one direction. ((anonymous report))
Sarnia (Canada),3 minutes,8/27/2016 10:15:00 PM,9/2/2016 12:00:00 AM,Light,ON,Bright light appears on highway with other drivers witnessing.
Spencerport,8 minutes,8/27/2016 9:25:00 PM,8/29/2016 12:00:00 AM,Circle,NY,Three Flaming Balls Over Spencerport, NY
Malverne,2 minutes,8/27/2016 9:05:00 PM,8/29/2016 12:00:00 AM,Light,NY,Group of 5 solid amber/orange lights, traveling in an open formation from northwest to southeast. ((anonymous report))
Camden,30 minutes,8/27/2016 9:00:00 PM,8/29/2016 12:00:00 AM,Light,NJ,Lights in the sky at Jimmy Buffett Concert.
Lawrence,<1 second,8/27/2016 8:20:00 PM,8/29/2016 12:00:00 AM,Flash,KS,Rapid moving flash of light while taking movie of clouds.
Jefferson,Few minutes,8/27/2016 8:15:00 PM,8/29/2016 12:00:00 AM,Fireball,SD,Brilliant fireball traveled from east to west. ((anonymous report))
Hollister,1 hour,8/27/2016 8:14:00 PM,8/29/2016 12:00:00 AM,Light,CA,Six red lights in a row, traveling SE near Hollister. ((anonymous report))((Report re-posted.))
Caledonia,5 minutes,8/27/2016 6:45:00 PM,9/2/2016 12:00:00 AM,Changing,WI,South on I-94 Saturday , 08.27.16 at 8:45 pm irregular round shape initially and then unraveling before disappearing.
Ellington,20 seconds,8/27/2016 9:00:00 AM,8/29/2016 12:00:00 AM,Light,CT,We saw a very fast moving bright light moving to the east. After approximately 15 seconds...it just faded out. We had an aircraft vis
Miami Beach,15 seconds,8/27/2016 12:15:00 AM,8/29/2016 12:00:00 AM,Light,FL,We currently are experiencing strange appearances in the sky : one blue light and another red light always almost close to each other a
Surf City,1 minute,8/26/2016 11:30:00 PM,8/29/2016 12:00:00 AM,Fireball,NJ,Fast fireball across sky.
Kingsport,2 minutes,8/26/2016 10:40:00 PM,8/29/2016 12:00:00 AM,Unknown,TN,Seen same object twice since 07/22/16
Altamonte Springs,10 minutes,8/26/2016 9:25:00 PM,8/29/2016 12:00:00 AM,Disk,FL,Hovering in sky with no sound. ((NUFORC Note: Twinkling star? PD))
Laplata,Route 6,8/26/2016 8:45:00 PM,8/29/2016 12:00:00 AM,Circle,MD,((HOAX??)) My gf observed a very large bright light hovering in the sky much bigger than a star. ((anonymous report))
Macomb,2 minutes,8/26/2016 8:30:00 PM,8/29/2016 12:00:00 AM,Triangle,IL,It was triangular in shape it looked like several spheres making connected making up the triangle. It had a weird glow to it, it was f
Gilbertsville,5 minutes,8/26/2016 8:15:00 PM,9/2/2016 12:00:00 AM,Rectangle,PA,Three black rectangular objects, traveling in a line at low altitude with no sound or apparent means of propulsion.
San Antonio,1 hour,8/26/2016 8:00:00 PM,8/29/2016 12:00:00 AM,Light,TX,I live on the northside and at 8pm I notice that dark clouds and lightning began forming on the westside of town-my next destination. W
Visalia,2-3 seconds,8/26/2016 1:00:00 PM,8/29/2016 12:00:00 AM,Unknown,CA,Sky suddenly dimmed during a lunchtime walk.
