IncidentDate,City,State,Shape,Duration,Summary,PostedDate
8/21/2016 21:40,Erie,CO,Triangle,3 minutes,"4 triangular shaped craft in formation, no lights, no noise.",8/25/2016
8/21/2016 11:24,Columbia,MO,Circle,5-Apr,"My mom called me out from where I was inside the house, telling me to come quick. She said that my dad had seen something.",8/25/2016
8/21/2016 10:58,Gillette,WY,Circle,2 minutes,Was driving mid morning and saw 6 spheres flying together and moving around each other. They were shiny and silver looking.,8/25/2016
8/21/2016 10:00,St. Petersburg,FL,Light,dident stop,Light in sky that looked like a star but just started to move left right all around it was not a star stars dont move,9/15/2016
8/21/2016 9:00,Asheboro,NC,Disk,,Looked like a flying saucer.,8/25/2016
8/21/2016 3:00,Obando (Colombia),,,20 minutes,"People from Obando (Valle), South America, Colombia found a strange creature that looks alien in nature.",8/25/2016
8/21/2016 2:45,Milwaukie,OR,Oval,1 minute,Cant explain two red fireballs over Portland.,8/25/2016
8/21/2016 1:01,Little Rock,AR,Unknown,1 second,Large white spiraling light traveling at incredible speed.,8/25/2016
8/20/2016 23:45,Málaga (Granada)(Spain),,Light,30 minutes,"Lights moving in groups of 3, forming shapes and blinking.",8/25/2016
8/20/2016 23:00,Windsor,MO,Unknown,10 seconds,"Extremely bright white and red flashing lights outside, lighting up our bedroom.",8/25/2016
8/20/2016 23:00,Monroe,NC,Sphere,30 seconds,"1 orb fading in and out, in the sky.",8/25/2016
8/20/2016 23:00,Chicago,IL,Sphere,30 minutes,My wife and I were in Chicago and we witnessed 8 orange/red/bright spheres slowly going overhead. I am ex Navy and stationed on the USS,9/2/2016
8/20/2016 23:00,Cedar Hills,UT,Light,10 minutes,"35-50 white star-like lights, moving a cross sky, toward NSA building.",8/25/2016
8/20/2016 22:57,Brockton,MA,Oval,45 seconds,Orange oval craft with no sound.,8/25/2016
8/20/2016 22:50,San Diego (North County),CA,Circle,5 minutes,"My wife and I both saw three orange lights in the sky, moving in different directions, and making no sound.",8/25/2016
8/20/2016 22:30,West Pawlet,VT,Sphere,15 minutes,"Two craft pass slowly at low elevation, a few minutes apart.",8/25/2016
8/20/2016 22:30,Jamestown,PA,Fireball,2-3 minutes,Four fireball orbs visible over Pymatuning Lake.,8/25/2016
8/20/2016 22:25,Athens,GA,Light,2 minutes,Orange ball of light in the sky. ((anonymous report)),8/25/2016
8/20/2016 21:52,Burlington,NJ,Light,15 seconds,"Object appears, brightens then disappear in night sky. ((NUFORC Note: Possible Iridium satellite? PD))",8/25/2016
8/20/2016 21:45,Southport,FL,Triangle,30 minutes,"Unusual space craft making erratic movements(turns) in the evening sky(21:45) , Aug 20th.2016 over Southport, FL.",8/25/2016
8/20/2016 21:15,Budapest (Hungary),,Rectangle,15 minutes,"Large, rectangular object obscuring portions of full moon over Budapest, Hungary.",9/9/2016
8/20/2016 21:10,Gorham,ME,Oval,3 minutes,Seven low flying bright orange orbs flying north at 9:10PM.,8/25/2016
8/20/2016 20:45,South Amboy,NJ,Sphere,15 minutes,Orange spheres moved across the sky in irregular patterns.,8/25/2016
8/20/2016 20:22,Hazel Crest,IL,Fireball,3 minutes and 20 seconds,10-12 yellow/orange fireballs moving in strange formation no sound and sequentially disappearing.,8/25/2016
8/20/2016 19:32,Oceanside,CA,Cigar,1 minute,One silvery looking cigar with smoke out the back going toward the water and north.,8/25/2016
8/20/2016 19:14,Los Angeles,CA,Disk,~1 second,"UFO Sighting at LAX Intl. Airport near the Control Tower on August 20, 2016 at 7:14 p.m. PST ((NUFORC Note: Bird in flight? PD))",8/25/2016
8/20/2016 5:00,Meridian,ID,Triangle,2 hours,"Looked out my window at 5 am, saw a bright flashing coming from the UFO. It caught my attention when the flashes changed from blue.",8/25/2016
8/20/2016 3:30,Atkinson,NH,Changing,1,"Walking at 330 am, looking up in the sky when a flash occur at high altitude similar to camera flash , looking for a couple minets it",8/25/2016
8/19/2016 22:45,Aberdeen Gardens,WA,Unknown,15 minutes,We watched 4 ufo's flying around then hover changing colors from white to red. One went down as if shot down.,8/25/2016
8/19/2016 22:10,Lebanon,NJ,Light,2-3 minutes,"2 of us saw, in the clouds, 2 bright lights seperate from each other. Clouds lit up.",8/25/2016
8/19/2016 22:05,Red Lion,PA,Triangle,<1 minute,"Small craft, blue flashing lights, hovered, spun around, shot straight up, beautiful blue lights.",8/25/2016
8/19/2016 22:00,Grass Valley,CA,Light,1 minute,The bright light did not have characteristics of an astroid and it decended like it was falling rather than streaking.,8/25/2016
